# Time-averaged data for fix 4
# TimeStep v_sigma_xx v_sigma_yy v_sigma_zz v_f_tether
100000 -0.0244379 0.0244379 0.00658348 8.89327
101000 -0.0835366 0.0835366 -0.03817 -51.5619
102000 -0.0203327 0.0203327 0.0482125 65.1277
103000 0.0530747 -0.0530747 0.00809323 10.9327
104000 0.00256324 -0.00256324 0.0207016 27.9647
105000 0.0121695 -0.0121695 -0.0543894 -73.4718
106000 0.0117196 -0.0117196 -0.046183 -62.3861
107000 0.0414425 -0.0414425 -0.074557 -100.715
108000 0.0127779 -0.0127779 0.0199859 26.9978
109000 -0.00958703 0.00958703 -0.0423628 -57.2256
110000 0.0278764 -0.0278764 -0.0564188 -76.2131
111000 -0.0105026 0.0105026 -0.00517193 -6.98649
112000 -0.0211007 0.0211007 0.0389149 52.568
113000 -0.0150687 0.0150687 0.0603372 81.5063
114000 0.0562361 -0.0562361 0.0580696 78.4432
115000 0.00872846 -0.00872846 0.0311826 42.1229
116000 0.00872215 -0.00872215 0.0291354 39.3575
117000 -0.0124838 0.0124838 -0.00532798 -7.19729
118000 -0.00475423 0.00475423 0.0321125 43.379
119000 0.0103696 -0.0103696 0.0187791 25.3677
120000 -0.0231924 0.0231924 -0.00750948 -10.1442
121000 -0.0149956 0.0149956 -0.0192909 -26.059
122000 -0.00628888 0.00628888 0.0155109 20.9528
123000 -0.00222728 0.00222728 0.0593638 80.1914
124000 0.0179092 -0.0179092 0.0184576 24.9334
125000 0.00396496 -0.00396496 -0.00858921 -11.6027
126000 0.07218 -0.07218 -0.0106416 -14.3751
127000 0.00979096 -0.00979096 0.109429 147.822
128000 -0.0135153 0.0135153 0.0129609 17.5082
129000 -0.00931444 0.00931444 -0.0187742 -25.3611
130000 -0.0081392 0.0081392 0.0224089 30.271
131000 0.00465427 -0.00465427 -0.025167 -33.9967
132000 -0.0306585 0.0306585 0.0151843 20.5116
133000 -0.0126424 0.0126424 0.0215073 29.0531
134000 0.00983099 -0.00983099 -0.0788535 -106.519
135000 0.0161814 -0.0161814 0.0484897 65.5021
136000 -0.0253539 0.0253539 -0.0699559 -94.4997
137000 -0.0570944 0.0570944 0.00786058 10.6184
138000 0.00595735 -0.00595735 0.0658397 88.9393
139000 0.0491714 -0.0491714 -0.00534945 -7.22628
140000 0.0315822 -0.0315822 -0.0186265 -25.1615
141000 0.016012 -0.016012 -0.0422753 -57.1075
142000 0.0133116 -0.0133116 0.0203655 27.5107
143000 0.0066479 -0.0066479 0.0414757 56.0273
144000 -0.0328783 0.0328783 -0.0316254 -42.7211
145000 0.018979 -0.018979 0.0435852 58.877
146000 -0.0124661 0.0124661 0.0702533 94.9014
147000 0.0236259 -0.0236259 0.047957 64.7825
148000 -0.0159975 0.0159975 0.0222025 29.9921
149000 -0.0270713 0.0270713 -0.0150008 -20.2638
150000 -0.0331611 0.0331611 -0.0648285 -87.5734
151000 0.0332136 -0.0332136 0.0406206 54.8723
152000 0.0168012 -0.0168012 -0.0182372 -24.6357
153000 0.0109829 -0.0109829 0.000303343 0.409771
154000 0.0198034 -0.0198034 -0.0837706 -113.161
155000 0.0299198 -0.0299198 0.0567466 76.656
156000 -0.00947266 0.00947266 0.0877146 118.489
157000 -0.0064453 0.0064453 0.0182265 24.6212
158000 1.39533e-05 -1.39533e-05 -0.0864298 -116.753
159000 -9.67065e-05 9.67065e-05 -0.0798467 -107.861
160000 0.00697687 -0.00697687 0.0180041 24.3207
161000 -0.000637791 0.000637791 0.0565568 76.3996
162000 -0.00714564 0.00714564 0.0236667 31.9701
163000 -0.0147866 0.0147866 0.0178263 24.0806
164000 0.0242855 -0.0242855 0.0717041 96.8612
165000 0.00744058 -0.00744058 0.0171884 23.2189
166000 0.0113382 -0.0113382 -0.0356847 -48.2046
167000 -0.0292789 0.0292789 0.0646832 87.3772
168000 0.0121847 -0.0121847 0.0511898 69.1496
169000 0.00819175 -0.00819175 -0.0257741 -34.8169
170000 0.0198951 -0.0198951 0.122386 165.325
171000 0.0145022 -0.0145022 0.0158897 21.4645
172000 -0.0326547 0.0326547 -0.0604006 -81.5919
173000 -0.0191091 0.0191091 -0.0608317 -82.1743
174000 -0.0059191 0.0059191 -0.0578648 -78.1665
175000 0.0225862 -0.0225862 -0.0294913 -39.8382
176000 0.0310332 -0.0310332 -0.00705988 -9.53682
177000 0.0211637 -0.0211637 -0.0755204 -102.017
178000 -0.022232 0.022232 -0.0870289 -117.563
179000 0.019988 -0.019988 0.0745183 100.663
180000 -0.0321696 0.0321696 0.0549214 74.1904
181000 -0.0310658 0.0310658 -0.0213336 -28.8184
182000 -0.0178476 0.0178476 -0.0410026 -55.3883
183000 -0.0121768 0.0121768 0.00432292 5.83961
184000 -0.0252163 0.0252163 -0.0427584 -57.76
185000 0.0447582 -0.0447582 -0.0601011 -81.1873
186000 -0.0224356 0.0224356 0.0627993 84.8323
187000 -0.0112973 0.0112973 0.0431 58.2215
188000 -0.0304665 0.0304665 -0.0286402 -38.6885
189000 -0.0109187 0.0109187 0.020119 27.1777
190000 0.0442169 -0.0442169 -0.00386146 -5.21624
191000 0.0154911 -0.0154911 0.025359 34.2562
192000 0.0274866 -0.0274866 0.050439 68.1354
193000 0.059729 -0.059729 -0.00694497 -9.38159
194000 0.021871 -0.021871 0.0172135 23.2528
195000 -0.00915581 0.00915581 0.0511615 69.1113
196000 0.0108284 -0.0108284 -0.00524786 -7.08905
197000 -0.0125805 0.0125805 -0.00642847 -8.68388
198000 0.0118992 -0.0118992 -0.115385 -155.867
199000 -0.0191649 0.0191649 0.0341495 46.1308
200000 0.000991445 -0.000991445 0.0395202 53.3857
201000 -0.018918 0.018918 0.014617 19.7453
202000 0.0187933 -0.0187933 -0.0417998 -56.4651
203000 0.0074939 -0.0074939 0.000724573 0.978787
204000 0.00363017 -0.00363017 0.00351438 4.74739
205000 -0.0105093 0.0105093 0.011331 15.3064
206000 -0.0236327 0.0236327 -0.0318659 -43.046
207000 -0.00257196 0.00257196 0.0241587 32.6347
208000 0.0347945 -0.0347945 0.0348298 47.0498
