# Time-averaged data for fix 4
# TimeStep v_sigma_xx_lip v_sigma_yy_lip v_sigma_zz_lip
101000 -0.00211118 0.00211118 0.00833127
102000 0.000609721 -0.000609721 0.00421564
103000 -0.00186164 0.00186164 0.0166794
104000 -0.00105622 0.00105622 0.0111374
105000 -0.00168592 0.00168592 0.0167435
106000 -9.47379e-05 9.47379e-05 0.0208295
107000 0.00487023 -0.00487023 0.00987764
108000 -0.0023325 0.0023325 0.0126442
109000 0.00121315 -0.00121315 0.0204668
110000 0.00334277 -0.00334277 0.0110982
111000 -0.000359331 0.000359331 0.00850204
112000 0.00090318 -0.00090318 0.00792549
113000 0.00142296 -0.00142296 -0.00137694
114000 -0.00288063 0.00288063 -0.00391484
115000 -0.00116707 0.00116707 0.00593647
116000 0.00231634 -0.00231634 0.0117425
117000 -0.00191916 0.00191916 0.0114744
118000 -3.68564e-05 3.68564e-05 0.0164807
119000 -0.000460494 0.000460494 0.00958749
120000 0.00147997 -0.00147997 0.016038
121000 0.0010751 -0.0010751 0.0114399
122000 5.09351e-05 -5.09351e-05 0.0190327
123000 -0.000344164 0.000344164 0.00543969
124000 -0.00158549 0.00158549 0.00830781
125000 0.0006713 -0.0006713 0.0144917
126000 -0.00216259 0.00216259 0.00119289
127000 -0.000622481 0.000622481 0.00942988
128000 -0.0046428 0.0046428 0.0136842
129000 0.00181651 -0.00181651 0.0102618
130000 -0.00253654 0.00253654 0.00180466
131000 -0.000772859 0.000772859 0.00804369
132000 -0.000236079 0.000236079 -0.000302953
133000 -0.0016136 0.0016136 0.00325482
134000 -2.60383e-05 2.60383e-05 0.0127786
135000 9.04298e-05 -9.04298e-05 0.0127152
136000 1.63541e-05 -1.63541e-05 0.00571509
137000 -0.000258303 0.000258303 0.00898163
138000 0.00179951 -0.00179951 0.0043298
139000 -0.00163465 0.00163465 0.00818439
140000 -0.00265956 0.00265956 0.0133992
141000 0.00242726 -0.00242726 0.00850733
142000 0.000145655 -0.000145655 0.00318383
143000 0.00434849 -0.00434849 0.00993401
144000 -0.000229801 0.000229801 0.0116003
145000 -0.00163019 0.00163019 0.00814195
146000 -7.3648e-05 7.3648e-05 0.00731565
147000 0.0019511 -0.0019511 0.00838219
148000 0.000207695 -0.000207695 0.0148558
149000 -0.00225935 0.00225935 0.00991465
150000 -0.000416538 0.000416538 0.00898911
151000 0.00412957 -0.00412957 0.0171845
152000 0.00125068 -0.00125068 0.0154358
153000 -0.0025364 0.0025364 0.00892643
154000 0.00153421 -0.00153421 0.00694916
155000 0.00225197 -0.00225197 0.0104234
156000 -0.00413749 0.00413749 0.0130041
157000 0.000326749 -0.000326749 0.00873856
158000 0.000994274 -0.000994274 0.00465658
159000 -0.00366508 0.00366508 0.00951086
160000 3.41812e-05 -3.41812e-05 0.0079023
161000 0.00242057 -0.00242057 0.00267739
162000 -0.00142402 0.00142402 0.0082876
163000 -0.000409328 0.000409328 0.00814597
164000 -1.48835e-05 1.48835e-05 0.0123041
165000 -0.000589544 0.000589544 0.0152422
166000 0.000813114 -0.000813114 0.0120877
167000 -0.0016894 0.0016894 0.010501
168000 0.00226774 -0.00226774 0.0124673
169000 -0.0025551 0.0025551 0.000758624
170000 0.000980913 -0.000980913 0.00592248
171000 -0.00127974 0.00127974 0.00232351
172000 0.00328658 -0.00328658 0.000924977
173000 -0.00391487 0.00391487 0.0102164
174000 -0.00149036 0.00149036 0.00669546
175000 -0.00212722 0.00212722 0.0126712
176000 -0.000285735 0.000285735 0.0117474
177000 0.00181387 -0.00181387 0.00333812
178000 0.000699503 -0.000699503 0.00495206
179000 0.000724744 -0.000724744 0.00466494
180000 0.00325719 -0.00325719 0.020175
181000 0.00167694 -0.00167694 0.00979828
182000 -0.00393099 0.00393099 0.0168023
183000 0.000734045 -0.000734045 0.00775277
184000 0.00104077 -0.00104077 -0.000464005
185000 0.000848016 -0.000848016 0.014313
186000 -0.000247445 0.000247445 0.00852559
187000 0.00198332 -0.00198332 0.0247693
188000 0.00108416 -0.00108416 0.0108919
189000 -0.000268466 0.000268466 0.0173162
190000 0.00246985 -0.00246985 0.00409692
191000 -0.000348198 0.000348198 0.00755036
192000 0.0016739 -0.0016739 0.00934534
193000 -0.00253865 0.00253865 0.00483195
194000 0.00458642 -0.00458642 0.016069
195000 -0.00138745 0.00138745 0.00734945
196000 0.00120274 -0.00120274 0.00987535
197000 0.00185945 -0.00185945 0.00498778
198000 0.00274228 -0.00274228 0.00443603
