# Time-averaged data for fix 4
# TimeStep v_sigma_xx_lip v_sigma_yy_lip v_sigma_zz_lip
101000 0.00100853 -0.00100853 0.0193174
102000 -0.000621091 0.000621091 0.0160349
103000 -0.000230169 0.000230169 0.0195289
104000 -0.00486791 0.00486791 0.0163707
105000 0.000187922 -0.000187922 0.018624
106000 -0.000728597 0.000728597 0.00946686
107000 -0.00151321 0.00151321 0.0133423
108000 0.000634779 -0.000634779 0.00885446
109000 -0.000979466 0.000979466 0.0186338
110000 0.000563884 -0.000563884 0.0197054
111000 -0.00396576 0.00396576 0.0189883
112000 0.00287317 -0.00287317 0.0175433
113000 0.000312728 -0.000312728 0.0203155
114000 0.00128195 -0.00128195 0.0184728
115000 -0.00173094 0.00173094 0.0115438
116000 -0.00298844 0.00298844 0.0199886
117000 -0.00136598 0.00136598 0.0313428
118000 0.00173308 -0.00173308 0.014517
119000 0.000529196 -0.000529196 0.018065
120000 -0.00213171 0.00213171 0.00717812
121000 -0.0010925 0.0010925 0.00990641
122000 0.00167941 -0.00167941 0.0129764
123000 0.00167201 -0.00167201 0.00987758
124000 -0.00217476 0.00217476 0.0103207
125000 0.00134999 -0.00134999 0.0207388
126000 -0.000607554 0.000607554 0.0169155
127000 -0.000902868 0.000902868 0.00765133
128000 0.000371126 -0.000371126 0.0135314
129000 -0.000533605 0.000533605 0.0176308
130000 -3.26873e-05 3.26873e-05 0.014817
131000 4.11005e-05 -4.11005e-05 0.018734
132000 0.00206484 -0.00206484 0.0282474
133000 0.000391691 -0.000391691 0.0158533
134000 -0.00193453 0.00193453 0.0190999
135000 0.000559928 -0.000559928 0.018253
136000 -0.00384801 0.00384801 0.012771
137000 -0.000535509 0.000535509 0.00639005
138000 -0.000593441 0.000593441 0.0181638
139000 0.000889756 -0.000889756 0.017354
140000 -0.00479713 0.00479713 0.022717
141000 -0.000124369 0.000124369 0.0190871
142000 -0.00110432 0.00110432 0.0138133
143000 -0.000487176 0.000487176 0.0229691
144000 -0.00420911 0.00420911 0.0151937
145000 -0.00110382 0.00110382 0.00573257
146000 0.000685377 -0.000685377 0.0153096
147000 2.34287e-05 -2.34287e-05 0.0112913
148000 -0.000730572 0.000730572 0.0163542
149000 -0.000916755 0.000916755 0.026915
150000 0.000209496 -0.000209496 0.0152921
151000 0.00265984 -0.00265984 0.0247774
152000 -0.000684947 0.000684947 0.0168686
153000 0.00049981 -0.00049981 0.018602
154000 -0.00231686 0.00231686 0.0143817
155000 -6.62817e-05 6.62817e-05 0.0225138
156000 0.000136381 -0.000136381 0.0233116
157000 0.00311074 -0.00311074 0.0199291
158000 0.00134238 -0.00134238 0.0106694
159000 -0.00135998 0.00135998 0.0198368
160000 -0.00171607 0.00171607 0.0158616
161000 -0.00133191 0.00133191 0.0169892
162000 -0.000982136 0.000982136 0.0267199
163000 -0.00312545 0.00312545 0.019458
164000 0.00263803 -0.00263803 0.0208294
165000 -0.000199069 0.000199069 0.0126589
166000 0.0022416 -0.0022416 0.0142116
167000 -0.00517818 0.00517818 0.0195351
168000 -0.00055937 0.00055937 0.0224972
169000 0.00149367 -0.00149367 0.0208361
170000 0.00349725 -0.00349725 0.0170939
171000 -0.00198226 0.00198226 0.0149013
172000 -0.00252166 0.00252166 0.00857847
173000 0.00264884 -0.00264884 0.00441457
174000 0.00158416 -0.00158416 0.0195425
